GS<br> follow link to MSigDB,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
MORF_FANCG,59,0.2692883,1.0275401,0.42971888,0.42112747,0.723,1782,"tags=71%, list=54%, signal=154%"
MORF_MT4,57,0.26352856,1.020038,0.4601227,0.42474517,0.726,1435,"tags=54%, list=44%, signal=95%"
GCM_MLL,71,0.27432287,1.0186687,0.444668,0.42214602,0.726,2071,"tags=86%, list=63%, signal=229%"
MORF_HEAB,30,0.28744525,0.99512357,0.46185568,0.44301072,0.735,1483,"tags=63%, list=45%, signal=115%"
MORF_ARL3,51,0.25817025,0.9760922,0.50612247,0.46194482,0.748,903,"tags=37%, list=28%, signal=51%"
MORF_PPP5C,31,0.2777973,0.9720534,0.4979757,0.46206355,0.749,1560,"tags=65%, list=48%, signal=122%"
MORF_IL16,44,0.26366735,0.96981007,0.5070422,0.46004298,0.751,903,"tags=39%, list=28%, signal=53%"
MORF_RBBP8,53,0.24685277,0.9640347,0.51097804,0.46193844,0.753,1470,"tags=57%, list=45%, signal=101%"
MORF_FDXR,61,0.25429815,0.95962965,0.47933885,0.46293887,0.758,1793,"tags=69%, list=55%, signal=150%"
MORF_MAGEA9,64,0.24481875,0.9438231,0.5373444,0.47749734,0.772,903,"tags=36%, list=28%, signal=49%"
MORF_IL13,40,0.2555384,0.9424785,0.522,0.47516927,0.773,665,"tags=33%, list=20%, signal=40%"
MORF_RAD51L3,54,0.25191352,0.9360311,0.5596708,0.4787437,0.778,903,"tags=35%, list=28%, signal=48%"
MORF_MDM2,42,0.25574043,0.93236536,0.56057495,0.47897303,0.782,903,"tags=36%, list=28%, signal=49%"
MORF_MLLT10,48,0.2449323,0.9139447,0.57057655,0.49466532,0.794,903,"tags=38%, list=28%, signal=51%"
GNF2_RBBP6,31,0.31832612,0.8946598,0.53846157,0.51231426,0.807,1466,"tags=68%, list=45%, signal=122%"
MORF_NOS2A,48,0.24326475,0.89340436,0.6099585,0.5093986,0.808,903,"tags=35%, list=28%, signal=48%"
MORF_FOSL1,65,0.23412916,0.89193827,0.59342915,0.5075441,0.81,903,"tags=35%, list=28%, signal=48%"
MORF_ERCC4,49,0.2312205,0.8712234,0.63429755,0.5255621,0.819,903,"tags=35%, list=28%, signal=47%"
MORF_STK17A,32,0.24534784,0.8622719,0.61349696,0.53333753,0.828,903,"tags=34%, list=28%, signal=47%"
MORF_PAX7,42,0.22063623,0.8218148,0.68916154,0.5769455,0.858,903,"tags=33%, list=28%, signal=45%"
MORF_IKBKG,39,0.24285059,0.8187434,0.58882236,0.5762457,0.86,2107,"tags=79%, list=64%, signal=221%"
MORF_BRCA1,58,0.21897511,0.8180567,0.7327935,0.5724958,0.861,2132,"tags=76%, list=65%, signal=214%"
MORF_DDX11,42,0.22719955,0.8008033,0.6354167,0.58940756,0.872,1791,"tags=67%, list=55%, signal=146%"
MORF_CAMK4,39,0.21759272,0.777388,0.72349274,0.61903596,0.889,903,"tags=33%, list=28%, signal=46%"
MORF_TNFRSF25,45,0.20647678,0.7729184,0.69325155,0.6207754,0.895,1470,"tags=49%, list=45%, signal=88%"
MORF_MSH3,50,0.2087149,0.7725909,0.7667343,0.6164293,0.895,2400,"tags=84%, list=73%, signal=311%"
MORF_IFNA1,25,0.2315002,0.7556414,0.70883536,0.6324325,0.902,844,"tags=32%, list=26%, signal=43%"
MORF_NF1,30,0.21691452,0.7507739,0.72899157,0.632967,0.903,903,"tags=33%, list=28%, signal=46%"
MORF_DMPK,25,0.22845683,0.74945986,0.76982594,0.6296696,0.903,844,"tags=36%, list=26%, signal=48%"
MORF_FSHR,36,0.21307915,0.7456681,0.76257545,0.6301062,0.905,1945,"tags=61%, list=59%, signal=149%"
MORF_ATF2,49,0.20097461,0.7451442,0.757515,0.6259056,0.905,1945,"tags=63%, list=59%, signal=154%"
MORF_TFDP2,39,0.20420407,0.73822176,0.757764,0.63067293,0.912,2262,"tags=74%, list=69%, signal=238%"
MORF_SUPT3H,42,0.20382313,0.72675765,0.7846791,0.64123607,0.918,1945,"tags=60%, list=59%, signal=145%"
GNF2_ITGAL,30,0.22153631,0.71667176,0.71142286,0.6486553,0.923,2357,"tags=90%, list=72%, signal=319%"
MORF_PTPRB,32,0.20982128,0.70192355,0.77575755,0.66077304,0.926,1945,"tags=66%, list=59%, signal=160%"
MORF_BCL2L11,27,0.20887828,0.68038464,0.782881,0.6862054,0.931,1945,"tags=59%, list=59%, signal=145%"
MORF_BCL2,40,0.16795327,0.5992477,0.8242678,0.797115,0.96,1401,"tags=40%, list=43%, signal=69%"
MORF_PML,30,0.18310706,0.5623455,0.85050505,0.83812416,0.967,1791,"tags=60%, list=55%, signal=131%"
MORF_MAGEA8,31,0.12901805,0.4276882,0.9510204,0.96058595,0.986,1945,"tags=52%, list=59%, signal=126%"
GNF2_PTPN4,34,0.12175512,0.33952892,0.9675456,0.9912177,0.988,2875,"tags=100%, list=88%, signal=819%"
